,gender,age,workout_frequency (days/week)
0,Male,56,4
1,Female,46,4
2,Female,32,4
3,Male,25,3
4,Male,38,3
5,Female,56,5
6,Male,36,3
7,Female,40,3
8,Male,28,4
9,Male,28,3
10,Male,41,2
11,Male,53,3
12,Male,57,3
13,Male,41,3
14,Male,20,3
15,Female,39,2
16,Female,19,3
17,Female,41,3
18,Female,47,3
19,Female,55,2
20,Male,19,4
21,Male,38,2
22,Female,50,2
23,Male,29,2
24,Female,39,4
25,Female,42,3
26,Male,44,2
27,Male,59,4
28,Male,45,5
29,Female,33,3
30,Male,32,3
31,Female,20,4
32,Female,54,2
33,Female,24,2
34,Male,38,5
35,Male,26,3
36,Female,56,4
37,Male,35,3
38,Male,21,4
39,Male,42,3
40,Female,31,2
41,Female,26,3
42,Male,43,4
43,Female,19,2
44,Male,37,2
45,Male,45,3
46,Male,24,3
47,Male,25,2
48,Female,52,3
49,Female,31,4
50,Female,34,3
51,Male,53,5
52,Male,57,3
53,Male,21,3
54,Female,19,3
55,Male,23,4
56,Female,59,3
57,Female,21,3
58,Female,46,4
59,Female,35,2
60,Female,43,3
61,Female,51,4
62,Male,27,5
63,Male,53,3
64,Female,31,5
65,Female,48,2
66,Male,32,5
67,Female,25,3
68,Female,31,4
69,Male,40,4
70,Female,57,5
71,Female,38,3
72,Female,33,4
73,Male,35,3
74,Male,41,4
75,Male,43,3
76,Female,42,3
77,Female,58,2
78,Male,46,2
79,Female,32,5
80,Female,18,2
81,Female,42,5
82,Female,24,3
83,Female,26,2
84,Male,41,3
85,Female,18,4
86,Male,25,3
87,Female,41,4
88,Male,28,4
89,Female,34,2
90,Male,25,4
91,Female,52,4
92,Male,52,3
93,Female,50,3
94,Male,22,3
95,Female,59,3
96,Male,56,2
97,Male,58,3
98,Female,45,4
99,Female,24,4
100,Male,26,3
101,Female,25,4
102,Male,29,3
103,Male,51,3
104,Male,50,3
105,Female,40,5
106,Male,41,2
107,Male,54,5
108,Female,52,3
109,Female,57,4
110,Female,39,3
111,Female,44,4
112,Male,52,4
113,Male,18,4
114,Male,52,4
115,Male,54,3
116,Female,31,3
117,Male,20,5
118,Male,18,2
119,Female,22,4
120,Male,43,4
121,Male,31,3
122,Male,56,2
123,Male,44,4
124,Male,26,5
125,Male,32,3
126,Female,32,2
127,Female,43,4
128,Male,59,3
129,Male,30,5
130,Female,49,3
131,Male,56,3
132,Male,49,5
133,Male,21,3
134,Female,47,4
135,Male,54,2
136,Female,40,3
137,Male,56,2
138,Female,32,2
139,Female,46,4
140,Male,53,3
141,Female,30,4
142,Male,49,2
143,Female,24,4
144,Male,39,3
145,Male,45,4
146,Female,19,3
147,Male,59,3
148,Male,23,3
149,Female,45,3
150,Male,45,3
151,Male,37,2
152,Female,47,4
153,Female,28,3
154,Male,45,2
155,Male,42,4
156,Female,56,4
157,Female,50,3
158,Male,18,2
159,Female,44,3
160,Male,30,3
161,Male,58,3
162,Male,20,3
163,Male,56,4
164,Male,23,4
165,Female,25,4
166,Female,44,5
167,Female,26,3
168,Female,54,2
169,Male,50,2
170,Male,59,3
171,Male,41,4
172,Male,32,5
173,Female,49,3
174,Male,49,3
175,Male,41,3
176,Female,58,4
177,Female,29,3
178,Female,56,3
179,Female,19,3
180,Male,20,3
181,Male,54,5
182,Female,34,5
183,Male,19,2
184,Male,19,4
185,Male,45,4
186,Female,40,5
187,Male,54,4
188,Female,49,3
189,Male,50,4
190,Male,18,4
191,Male,36,3
192,Female,19,3
193,Male,43,2
194,Female,49,3
195,Female,23,3
196,Female,49,4
197,Male,21,4
198,Male,28,3
199,Male,34,4
200,Male,55,4
201,Female,41,5
202,Female,22,3
203,Female,51,4
204,Male,23,4
205,Female,39,5
206,Male,28,3
207,Female,33,4
208,Male,50,4
209,Male,26,4
210,Female,23,4
211,Female,33,3
212,Female,46,4
213,Female,20,3
214,Male,37,3
215,Female,53,3
216,Female,36,4
217,Female,43,2
218,Male,20,4
219,Male,36,2
220,Female,37,3
221,Male,49,4
222,Female,24,3
223,Male,58,4
224,Male,50,3
225,Male,57,5
226,Male,56,3
227,Female,35,4
228,Female,57,4
229,Female,18,4
230,Male,28,3
231,Female,45,3
232,Female,42,3
233,Female,40,4
234,Male,48,4
235,Male,47,4
236,Male,59,3
237,Female,52,4
238,Female,24,2
239,Female,33,4
240,Male,43,2
241,Male,19,2
242,Female,18,2
243,Male,29,3
244,Male,22,3
245,Male,54,2
246,Male,49,4
247,Female,26,3
248,Male,58,2
249,Male,52,2
250,Male,36,3
251,Male,33,3
252,Female,20,4
253,Female,37,3
254,Male,41,4
255,Male,50,2
256,Male,41,4
257,Male,28,4
258,Male,25,3
259,Male,53,2
260,Female,55,2
261,Male,57,2
262,Female,37,3
263,Female,52,3
264,Male,42,3
265,Female,52,3
266,Female,42,3
267,Female,46,4
268,Female,35,4
269,Female,35,5
270,Female,19,2
271,Male,52,3
272,Female,33,3
273,Female,58,3
274,Female,53,5
275,Male,50,2
276,Female,21,5
277,Male,50,2
278,Female,31,4
279,Male,38,2
280,Male,37,2
281,Female,25,3
282,Female,24,3
283,Male,20,2
284,Female,34,3
285,Male,50,5
286,Male,29,4
287,Male,39,2
288,Male,39,4
289,Male,47,4
290,Female,55,2
291,Male,55,4
292,Male,25,2
293,Female,44,3
294,Male,44,4
295,Female,51,3
296,Female,38,3
297,Female,47,3
